Slots: 9, Shifts: 19, Iterations: 268, Clashes: 92
Slots: 11, Shifts: 17, Iterations: 366, Clashes: 8
Slots: 17, Shifts: 17, Iterations: 210, Clashes: 0
Slots: 13, Shifts: 17, Iterations: 150, Clashes: 0
Slots: 14, Shifts: 16, Iterations: 951, Clashes: 0
Slots: 18, Shifts: 16, Iterations: 433, Clashes: 0
Slots: 14, Shifts: 15, Iterations: 74, Clashes: 0
Slots: 16, Shifts: 16, Iterations: 588, Clashes: 0
Slots: 19, Shifts: 18, Iterations: 17, Clashes: 0
Slots: 8, Shifts: 17, Iterations: 485, Clashes: 166
Slots: 11, Shifts: 18, Iterations: 767, Clashes: 10
Slots: 13, Shifts: 18, Iterations: 78, Clashes: 0
Slots: 12, Shifts: 15, Iterations: 158, Clashes: 2
Slots: 14, Shifts: 17, Iterations: 899, Clashes: 0
Slots: 18, Shifts: 15, Iterations: 645, Clashes: 0
Slots: 11, Shifts: 17, Iterations: 767, Clashes: 8
Slots: 14, Shifts: 16, Iterations: 399, Clashes: 0
Slots: 11, Shifts: 16, Iterations: 101, Clashes: 8
Slots: 13, Shifts: 18, Iterations: 39, Clashes: 0
Slots: 7, Shifts: 17, Iterations: 519, Clashes: 200
Slots: 10, Shifts: 17, Iterations: 566, Clashes: 16
Slots: 15, Shifts: 19, Iterations: 961, Clashes: 0
Slots: 5, Shifts: 15, Iterations: 913, Clashes: 1066
Slots: 7, Shifts: 16, Iterations: 130, Clashes: 238
Slots: 12, Shifts: 19, Iterations: 50, Clashes: 2
Slots: 8, Shifts: 17, Iterations: 739, Clashes: 166
Slots: 19, Shifts: 15, Iterations: 516, Clashes: 0
Slots: 10, Shifts: 15, Iterations: 475, Clashes: 30
Slots: 15, Shifts: 19, Iterations: 516, Clashes: 0
Slots: 7, Shifts: 15, Iterations: 247, Clashes: 276
Slots: 7, Shifts: 19, Iterations: 982, Clashes: 214
Slots: 6, Shifts: 18, Iterations: 251, Clashes: 728
Slots: 17, Shifts: 16, Iterations: 837, Clashes: 0
Slots: 15, Shifts: 17, Iterations: 133, Clashes: 0
Slots: 14, Shifts: 15, Iterations: 191, Clashes: 0
Slots: 19, Shifts: 15, Iterations: 835, Clashes: 0
Slots: 6, Shifts: 16, Iterations: 177, Clashes: 386
Slots: 16, Shifts: 15, Iterations: 1000, Clashes: 0
Slots: 15, Shifts: 16, Iterations: 317, Clashes: 0
Slots: 6, Shifts: 18, Iterations: 100, Clashes: 728
Slots: 14, Shifts: 19, Iterations: 64, Clashes: 0
Slots: 19, Shifts: 15, Iterations: 855, Clashes: 0
Slots: 8, Shifts: 17, Iterations: 984, Clashes: 166
Slots: 10, Shifts: 19, Iterations: 921, Clashes: 46
Slots: 18, Shifts: 19, Iterations: 760, Clashes: 0
Slots: 19, Shifts: 15, Iterations: 24, Clashes: 0
Slots: 10, Shifts: 15, Iterations: 945, Clashes: 30
Slots: 18, Shifts: 19, Iterations: 500, Clashes: 0
